sku,category,Description,Color,Specification,SP,MRP,productname,imgurl1,Stock,imgurl,Size
SKU: #9430,,,"<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span style=""color: #000000;"">Aquamira’s Frontier Pro Ultralight Water Filter System is a highly effective water treatment system that fits in your pocket.</span>,<span style=""color: #000000;"">Drink directly from any water source or fill up a bottle or bladder, attach the Frontier Pro filter and start drinking! Use it as a hanging drip filter, too.</span>,<span style=""color: #000000;"">The Frontier Pro is effective for up to 50 gallons of water and uses Aquamira’s advanced Miraguard™ Antimicrobial Technology to suppress the growth of algae, fungus, mold and mildew in the filter.</span>,<span style=""color: #000000;"">The Frontier Pro removes over 99.9% of Cryptosporidium and Giardia as well as dangerous microorganisms from source water, without tablets or waiting.</span>,<span style=""color: #000000;"">It’s compact, lightweight and easy to use.</span>",,,"
                            ,
                                    ",http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/q/aquamira_tactical_frontier_pro_water_filter.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/q/aquamira_tactical_frontier_pro_water_filter.jpg,
SKU: #4422,,,"<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Olive Drab W/Aluminum Foil Mat Bottom W/2 Elastic Ties, Thermal,</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Reflective Aluminum Foil Bottom Mat Retains Heat,</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Measures: 180 X 60 X 1cm</span>",,,"
                            ,
                                    ","http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_thermal_reflective_od_sleeping_pad_w_ties.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_thermal_reflective_od_sleeping_pad_w_ties..jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_thermal_reflective_od_sleeping_pad_w_ties.jpg,
SKU: #3335,,,"<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Rothco's Deluxe Survival Knife is the ultimate survival knife featuring a ton of essential tools to help you in any emergency situation.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">The blade length of the knife is 5 1/2 and the total length of the knife is 10 1/2</span>",,,"
                            ,
                                    ","http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_deluxe_adventurer_survival_kit_knife..jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_deluxe_adventurer_survival_kit_knife.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_deluxe_adventurer_survival_kit_knife.jpg,
SKU: #51,,,"<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Heavy Duty Steel Construction</span>",,,"
                            ,
                                    ","http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_heavy_weight_steel_handle_folding_pick_shovel..jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_heavy_weight_steel_handle_folding_pick_shovel.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_heavy_weight_steel_handle_folding_pick_shovel..jpg,
SKU: #cache-4p,,,"<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span style=""font-family: 'book antiqua', palatino; color: #000000;"">Perfect for campers who need a lot of space, the Cache 4p tent is a base camp/family style tent with lots of space and storage to keep organized and camp easier. </span>,<span style=""font-family: 'book antiqua', palatino; color: #000000;"">The unique pole design has a large footprint, excellent stability, and near vertical walls for more livability. </span>,<span style=""font-family: 'book antiqua', palatino; color: #000000;"">Dual doors make access quick and easy.  The available Annex vestibule (sold separately) attaches to either door and offers extra storage and covered activity space.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Tents include: canopy, fly, poles, stakes, stuff sacks, and guy lines.  Footprint and Annex sold separately.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;""><span>Pack weight: 14lbs 12oz. Floor area 64 sq. ft. 4 Person. Three season</span></span>",,,"
                            ,
                                    ","http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/a/cache-4p-fly-on-clipped.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/a/cache-4p-no-fly.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/a/cache-4p-no-fly.jpg,
SKU: #newport h2 women,,,"<div class=""input-box"">
        <select name=""options[24]"" id=""select_24"" class="" required-entry product-custom-option"" title="""" onchange=""opConfig.reloadPrice()""><option value="""">-- Please Select --</option><option value=""45"" price=""0"">Black </option><option value=""46"" price=""0"">Gorgoyle Sap Green </option><option value=""43"" price=""0"">Navy Dream </option><option value=""44"" price=""0"">Sap Green Stripe </option></select>                                </div>","<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Order up some adventure with a side of water in the Newport H2 from KEEN.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Ready for adverse conditions, the razor sipped outsole and 3mm lugs provide excellent traction.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">The washable polyester webbing upper features the odor-reducing Aegis Microbe Shield®.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">KEEN patented toe protection lets you follow any path, whether to rivers or trails.</span>","
                    Rs3,500.00                ","
                    Rs5,400.00                ","
                            ,
                                    ","http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/e/newporth2-ceramic.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/e/newport_h2_keen.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sole_newport_h2_sandal.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/l/black_wmn_kenn_nwport_h2_sandal.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/l/black_wmn_kenn_nwport_h2_sandal.jpg,"<div class=""input-box"">
        <select name=""options[25]"" id=""select_25"" class="" required-entry product-custom-option"" title="""" onchange=""opConfig.reloadPrice()""><option value="""">-- Please Select --</option><option value=""47"" price=""0"">US-5 </option><option value=""48"" price=""0"">US-6 </option><option value=""49"" price=""0"">US-7 </option><option value=""50"" price=""0"">US-8 </option></select>                                </div>"
SKU: #hattrick,,,"<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Lightweight versatility with best in class space-to-weight ratio. Get more space, protection, and lengthen your usable season with the Hat-Trick series.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">This full-featured tent delivers user-friendly features like large entry doors, protected vestibules, Pole-Pilot™ setup sleeves and semi-attachable fly without needing a pack mule.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Easton carbon fiber poles shave weight and add strength. The perfect shelter for those wanting extra wiggle room or needing space for gear-intensive excursions.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Hat-Trick is made with Carbon EVO Pole System with shockcord.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">EVO is stronger and lighter than aluminum and sets the new standard in high performance tent frames.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Tent includes: canopy, fly, poles, stakes, stuff sacks, and guy lines. Footprint sold separately.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;""><span>Pack weight: 5lbs 3oz. Floor area: 40.4 sq.ft. 2 person. All season.</span></span>",,,"
                            ,
                                    ","http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/images/catalog/product/placeholder/image.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/_/h/_hat-trick2p_fly_.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/images/catalog/product/placeholder/image.jpg,
SKU: #25000,,,"<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Rothco's 8-in-1 LED Card is the prefect pocket size utility tool that is small enough to fit into your wallet or pocket.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">The tool features a laser pointer, compass, magnifier, ballpoint pen, LED light,invisible ink pen with UV light.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Batteries are included.</span>",,,"
                            ,
                                    ","http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_8-in-1_led_utility_card_tool1.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/_/r/_rothco_8-in-1_led_utility_card_tool2_1.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_8-in-1_led_utility_card_tool3.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_8-in-1_led_utility_card_tool1.jpg,
sku,category,Description,Color,Specification,SP,MRP,productname,imgurl1,Stock,imgurl,Size
SKU: #2280,,,"<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span>We stock only the highest-quality latex gaskets available. Install with Aquaseal®. Sold individually.</span>,<span>The glue-in diameter for all sizes is 12"" in circumference.</span>",,,"
                            ,
                                    ",http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/w/r/wrist_gasket.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/w/r/wrist_gasket.jpg,
SKU: #50050.01,,,"<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span>Comfy, grippy, low profile. Cottonmouth Nose Plugs offer the latest in quality, design and style. They keep the water out without feeling like your nose is in a vice. It's bite is gentle.</span>",,,"
                            ,
                                    ",http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/o/nose_plug.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/o/nose_plug.jpg,
SKU: #2047,,,"<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span>The NRS RiverBed Sleeping Pad lets you sleep like a rock even if you're sleeping on a rock. Designed for multiday raft trips, this waterproof camp bed is perfect for camping by boat or by car.</span>",,,"
                            ,
                                    ","http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/i/river_bed2.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/i/river_bed1.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/i/river_bed3.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/i/river_bed1.jpg,
SKU: #38751.01,,,"<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span>The most powerful UV screening protection ever made. Use it on everything from boats to apparel. 303 Aerospace Protectant is - ""SPF 40 For Your Stuff!"" Helpful in prolonging the lifetime of your raft. Don't forget to use this on your paddling apparel that have latex gaskets. </span>",,,"
                            ,
                                    ","http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/r/protectant3.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/r/protectant4.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/r/protectant2.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/r/protectant3.jpg,
SKU: #1515,,,"<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span>Favored by commercial outfitters for its high strength-to-weight ratio, this 7.5"" x 21.5"" reinforced blade is fitted with a 1-1/8"" aluminum shaft. </span>,<span>The shaft is covered with high-density polyethylene to provide a grip that resists nicks, dents and oxidation, and gives a warmer feel than bare aluminum.</span>",,,"
                            ,
                                    ","http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/o/u/outfitter1.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/o/u/outfitter2.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/o/u/outfitter1.jpg,
SKU: #1984,,,"<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>",<span>NRS Pennel Orca® raft and inflatable kayak repair kit. Contains the essentials for emergency boat material and Leafield valve repair. This is the same kit that comes with a new NRS Hypalon raft or IK.</span>,,,"
                            ,
                                    ","http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/e/repair_kit1.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/e/repair_kit2.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/e/repair_kit2.jpg,
SKU: #80008.01,,,"<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span>The easy-to read digital display of the NRS Digital Pressure Gauge helps you keep the air pressure in your inflatable raft, cataraft, kayak, SUP or body board exactly where you want it.</span>",,,"
                            ,
                                    ",http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/i/picture1gauge_1.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/i/picture1gauge_1.jpg,
SKU: #1726,,,"<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>",<span>Why pump by hand if you don't have to? Let the NRS Blast Inflator Pump do the work for you. Its compact size and rugged durability will last for years. </span>,,,"
                            ,
                                    ","http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/l/blast1.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/l/blast2.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/l/blast1.jpg,
SKU: #1987,,,"<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span>This Urethane Repair Kit contains the essentials for emergency boat material and Leafield valve repair. This is the same kit that comes with a new Revolution Raft, Osprey Raft, Bandit and Rascal IKs.</span>",,,"
                            ,
                                    ",http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/e/repair_kit2_.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/e/repair_kit2_.jpg,
sku,category,Description,Color,Specification,SP,MRP,productname,imgurl1,Stock,imgurl,Size
SKU: #2280,,"<div class=""short-description"">
                    <div class=""std""><p><span>We stock only the highest-quality latex gaskets available. Install with Aquaseal®. Sold individually.</span><br><br><strong>Wrist Gaskets are sold individually.</strong><br><br><span>The glue-in diameter for all sizes is 12"" in circumference.</span></p></div>
        </div>","<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span>We stock only the highest-quality latex gaskets available. Install with Aquaseal®. Sold individually.</span>,<span>The glue-in diameter for all sizes is 12"" in circumference.</span>",,,NRS Latex Wrist Gasket,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/w/r/wrist_gasket.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/w/r/wrist_gasket.jpg,
SKU: #50050.01,,"<div class=""short-description"">
                    <div class=""std""><p><span>Comfy, grippy, low profile. Cottonmouth Nose Plugs offer the latest in quality, design and style. They keep the water out without feeling like your nose is in a vice. It's bite is gentle.</span></p><br>
<ul><br>
<li>Made with a high-quality wire that has both strength and durability.</li><br>
<li>The wire is covered, so the nose padding grips well and resists separating.</li><br>
<li>Built to last in Asheville, North Carolina.</li><br>
</ul></div>
        </div>","<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span>Comfy, grippy, low profile. Cottonmouth Nose Plugs offer the latest in quality, design and style. They keep the water out without feeling like your nose is in a vice. It's bite is gentle.</span>",,,Nrs Cottonmouth Nose Plugs,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/o/nose_plug.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/o/nose_plug.jpg,
SKU: #1984,,"<div class=""short-description"">
                    <div class=""std""><p><span>NRS Pennel Orca® raft and inflatable kayak repair kit. Contains the essentials for emergency boat material and Leafield valve repair. This is the same kit that comes with a new NRS Hypalon raft or IK.</span></p><br>
<ul><br>
<li>Repair parts are fitted in a water resistant dry box, with gasket-lined lid.</li><br>
<li>This kit is intended to give you the basics to make an emergency on-the-water repair. See the parts list for the included items.</li><br>
<li>Other items, such as Toluene and Clifton Hypalon Accelerator (sold separately), are recommended for more complete, long lasting repair jobs.</li><br>
<li>If you do not have an NRS boat, some of the items, such as the valve parts, may not work on your boat.</li><br>
</ul></div>
        </div>","<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>",<span>NRS Pennel Orca® raft and inflatable kayak repair kit. Contains the essentials for emergency boat material and Leafield valve repair. This is the same kit that comes with a new NRS Hypalon raft or IK.</span>,,,NRS Pennel Orca Raft and Inflatable Kayak Repair Kit,"http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/e/repair_kit1.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/e/repair_kit2.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/e/repair_kit2.jpg,
SKU: #80008.01,,"<div class=""short-description"">
                    <div class=""std""><p><span>The easy-to read digital display of the NRS Digital Pressure Gauge helps you keep the air pressure in your inflatable raft, cataraft, kayak, SUP or body board exactly where you want it.</span></p><br>
<ul><br>
<li>This accurate gauge can save you a ton of headache and expense.</li><br>
<li>Waterproof casing will make sure that your gauge can handle life on the river.</li><br>
<li>Large, black-on-gray digital display is simple to read. Especially helpful for those with poor eyesight.</li><br>
<li>Gauge tip fits Leafield and military valves.</li><br>
<li>Rubberized housing makes this gauge easy to handle and protects it from impact.</li><br>
<li>Compact, sturdy design works on nearly any inflatable boat valve.</li><br>
</ul></div>
        </div>","<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span>The easy-to read digital display of the NRS Digital Pressure Gauge helps you keep the air pressure in your inflatable raft, cataraft, kayak, SUP or body board exactly where you want it.</span>",,,NRS Digital Pressure Gauge,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/i/picture1gauge_1.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/i/picture1gauge_1.jpg,
SKU: #1515,,"<div class=""short-description"">
                    <div class=""std""><p><span>Favored by commercial outfitters for its high strength-to-weight ratio, this 7.5"" x 21.5"" reinforced blade is fitted with a 1-1/8"" aluminum shaft. </span></p><br>
<p><span>The shaft is covered with high-density polyethylene to provide a grip that resists nicks, dents and oxidation, and gives a warmer feel than bare aluminum.</span></p></div>
        </div>","<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span>Favored by commercial outfitters for its high strength-to-weight ratio, this 7.5"" x 21.5"" reinforced blade is fitted with a 1-1/8"" aluminum shaft. </span>,<span>The shaft is covered with high-density polyethylene to provide a grip that resists nicks, dents and oxidation, and gives a warmer feel than bare aluminum.</span>",,,Carlisle Outfitter Paddle,"http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/o/u/outfitter1.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/o/u/outfitter2.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/o/u/outfitter1.jpg,
SKU: #38751.01,,"<div class=""short-description"">
                    <div class=""std""><p><span>The most powerful UV screening protection ever made. Use it on everything from boats to apparel. 303 Aerospace Protectant is - ""SPF 40 For Your Stuff!"" Helpful in prolonging the lifetime of your raft. Don't forget to use this on your paddling apparel that have latex gaskets. </span></p><br>
<ul><br>
<li>What leading manufacturer's recommend in: automotive, marine, RV, home, and outdoors!</li><br>
<li>For use on vinyl, clear vinyl, inflatable boats, fiberglass, rubber &amp; all UV sensitive plastics.</li><br>
<li>Easy to use - just spray on and wipe dry!</li><br>
<li>This is an environmentally safe product that is non-toxic and biodegradable.</li><br>
</ul></div>
        </div>","<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span>The most powerful UV screening protection ever made. Use it on everything from boats to apparel. 303 Aerospace Protectant is - ""SPF 40 For Your Stuff!"" Helpful in prolonging the lifetime of your raft. Don't forget to use this on your paddling apparel that have latex gaskets. </span>",,,Nrs 303 Aerospace Protectant,"http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/r/protectant3.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/r/protectant4.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/r/protectant2.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/r/protectant3.jpg,
SKU: #1987,,"<div class=""short-description"">
                    <div class=""std""><p><span>This Urethane Repair Kit contains the essentials for emergency boat material and Leafield valve repair. This is the same kit that comes with a new Revolution Raft, Osprey Raft, Bandit and Rascal IKs.</span></p><br>
<ul><br>
<li>Repair parts are fitted in a water resistant dry box, with gasket-lined lid.</li><br>
<li>This kit is intended to give you the basics to make an emergency on-the-water repair. See the parts list for the included items.</li><br>
<li>If you do not have an NRS boat, some of the items, such as the valve parts, may not work on your boat.</li><br>
</ul></div>
        </div>","<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span>This Urethane Repair Kit contains the essentials for emergency boat material and Leafield valve repair. This is the same kit that comes with a new Revolution Raft, Osprey Raft, Bandit and Rascal IKs.</span>",,,NRS Revolution & Osprey Raft Urethane Repair Kit,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/e/repair_kit2_.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/e/repair_kit2_.jpg,
SKU: #2047,,"<div class=""short-description"">
                    <div class=""std""><p><span>The NRS RiverBed Sleeping Pad lets you sleep like a rock even if you're sleeping on a rock. Designed for multiday raft trips, this waterproof camp bed is perfect for camping by boat or by car.</span></p><br>
<ul><br>
<li>Rugged, waterproof PVC exterior holds up to all the use and abuse you can throw at it.</li><br>
<li>Our exclusive dual-density foam shields you from rocks, sticks and pine cones while providing pillow-soft comfort.</li><br>
<li>Top-quality Leafield C7 valve lets you use your raft pump to inflate the pad for extra cushion.</li><br>
<li>Two cinch straps with quick-release buckles help you roll your sleeping pad compactly for easy transport.</li><br>
<li>For rafters and other boaters, laying the NRS RiverBed over a cooler or dry box provides extra insulation and a comfortable seat.</li><br>
</ul></div>
        </div>","<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span>The NRS RiverBed Sleeping Pad lets you sleep like a rock even if you're sleeping on a rock. Designed for multiday raft trips, this waterproof camp bed is perfect for camping by boat or by car.</span>",,,NRS River Bed Sleeping Pad,"http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/i/river_bed2.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/i/river_bed1.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/i/river_bed3.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/i/river_bed1.jpg,
